BinLow(GeV),BinHigh(GeV),Flux(neutrinos/m^2/POT/GeV)
0.000000e+00,5.000000e-01,4.501604e-06
5.000000e-01,1.000000e+00,7.456315e-06
1.000000e+00,1.500000e+00,7.106737e-06
1.500000e+00,2.000000e+00,1.449998e-05
2.000000e+00,2.500000e+00,3.409960e-05
2.500000e+00,3.000000e+00,5.871848e-05
3.000000e+00,3.500000e+00,7.614853e-05
3.500000e+00,4.000000e+00,8.545904e-05
4.000000e+00,4.500000e+00,9.391710e-05
4.500000e+00,5.000000e+00,1.067875e-04
5.000000e+00,5.500000e+00,1.179888e-04
5.500000e+00,6.000000e+00,1.238293e-04
6.000000e+00,6.500000e+00,1.193707e-04
6.500000e+00,7.000000e+00,1.046674e-04
7.000000e+00,7.500000e+00,8.212802e-05
7.500000e+00,8.000000e+00,5.921353e-05
8.000000e+00,8.500000e+00,4.058766e-05
8.500000e+00,9.000000e+00,2.668618e-05
9.000000e+00,9.500000e+00,1.737179e-05
9.500000e+00,1.000000e+01,1.148192e-05
1.000000e+01,1.050000e+01,8.003281e-06
1.050000e+01,1.100000e+01,5.898662e-06
1.100000e+01,1.150000e+01,4.541719e-06
1.150000e+01,1.200000e+01,3.735824e-06
1.200000e+01,1.250000e+01,3.189013e-06
1.250000e+01,1.300000e+01,2.716215e-06
1.300000e+01,1.350000e+01,2.348563e-06
1.350000e+01,1.400000e+01,2.093590e-06
1.400000e+01,1.450000e+01,1.860413e-06
1.450000e+01,1.500000e+01,1.675042e-06
1.500000e+01,1.550000e+01,1.539685e-06
1.550000e+01,1.600000e+01,1.401567e-06
1.600000e+01,1.650000e+01,1.287819e-06
1.650000e+01,1.700000e+01,1.168401e-06
1.700000e+01,1.750000e+01,1.120298e-06
1.750000e+01,1.800000e+01,1.035305e-06
1.800000e+01,1.850000e+01,9.572781e-07
1.850000e+01,1.900000e+01,8.930668e-07
1.900000e+01,1.950000e+01,8.352135e-07
1.950000e+01,2.000000e+01,7.866908e-07
2.000000e+01,2.050000e+01,7.470307e-07
2.050000e+01,2.100000e+01,6.977771e-07
2.100000e+01,2.150000e+01,6.773801e-07
2.150000e+01,2.200000e+01,6.291276e-07
2.200000e+01,2.250000e+01,6.013332e-07
2.250000e+01,2.300000e+01,5.440045e-07
2.300000e+01,2.350000e+01,5.194840e-07
2.350000e+01,2.400000e+01,4.826651e-07
2.400000e+01,2.450000e+01,4.535200e-07
2.450000e+01,2.500000e+01,4.279321e-07
2.500000e+01,2.550000e+01,3.978541e-07
2.550000e+01,2.600000e+01,3.706149e-07
2.600000e+01,2.650000e+01,3.585132e-07
2.650000e+01,2.700000e+01,3.376064e-07
2.700000e+01,2.750000e+01,3.227740e-07
2.750000e+01,2.800000e+01,3.101578e-07
2.800000e+01,2.850000e+01,2.978944e-07
2.850000e+01,2.900000e+01,2.843308e-07
2.900000e+01,2.950000e+01,2.733064e-07
2.950000e+01,3.000000e+01,2.600833e-07
3.000000e+01,3.050000e+01,2.455703e-07
3.050000e+01,3.100000e+01,2.315321e-07
3.100000e+01,3.150000e+01,2.166588e-07
3.150000e+01,3.200000e+01,2.071347e-07
3.200000e+01,3.250000e+01,2.044016e-07
3.250000e+01,3.300000e+01,1.915967e-07
3.300000e+01,3.350000e+01,1.823287e-07
3.350000e+01,3.400000e+01,1.722918e-07
3.400000e+01,3.450000e+01,1.636331e-07
3.450000e+01,3.500000e+01,1.571841e-07
3.500000e+01,3.550000e+01,1.552976e-07
3.550000e+01,3.600000e+01,1.455754e-07
3.600000e+01,3.650000e+01,1.413276e-07
3.650000e+01,3.700000e+01,1.376062e-07
3.700000e+01,3.750000e+01,1.349796e-07
3.750000e+01,3.800000e+01,1.319016e-07
3.800000e+01,3.850000e+01,1.296962e-07
3.850000e+01,3.900000e+01,1.267353e-07
3.900000e+01,3.950000e+01,1.260630e-07
3.950000e+01,4.000000e+01,1.294358e-07
4.000000e+01,4.050000e+01,1.249527e-07
4.050000e+01,4.100000e+01,1.131404e-07
4.100000e+01,4.150000e+01,1.136196e-07
4.150000e+01,4.200000e+01,1.055623e-07
4.200000e+01,4.250000e+01,1.041800e-07
4.250000e+01,4.300000e+01,1.033702e-07
4.300000e+01,4.350000e+01,9.879890e-08
4.350000e+01,4.400000e+01,9.295120e-08
4.400000e+01,4.450000e+01,8.906242e-08
4.450000e+01,4.500000e+01,8.646397e-08
4.500000e+01,4.550000e+01,8.118845e-08
4.550000e+01,4.600000e+01,7.936355e-08
4.600000e+01,4.650000e+01,7.646024e-08
4.650000e+01,4.700000e+01,7.237304e-08
4.700000e+01,4.750000e+01,7.080929e-08
4.750000e+01,4.800000e+01,6.879982e-08
4.800000e+01,4.850000e+01,6.422156e-08
4.850000e+01,4.900000e+01,6.155450e-08
4.900000e+01,4.950000e+01,6.109374e-08
4.950000e+01,5.000000e+01,5.820641e-08
5.000000e+01,5.050000e+01,5.221154e-08
5.050000e+01,5.100000e+01,4.795752e-08
5.100000e+01,5.150000e+01,4.682682e-08
5.150000e+01,5.200000e+01,4.216514e-08
5.200000e+01,5.250000e+01,3.901736e-08
5.250000e+01,5.300000e+01,3.748740e-08
5.300000e+01,5.350000e+01,3.396944e-08
5.350000e+01,5.400000e+01,3.178975e-08
5.400000e+01,5.450000e+01,2.792898e-08
5.450000e+01,5.500000e+01,2.430142e-08
5.500000e+01,5.550000e+01,2.267071e-08
5.550000e+01,5.600000e+01,1.928349e-08
5.600000e+01,5.650000e+01,1.633589e-08
5.650000e+01,5.700000e+01,1.521008e-08
5.700000e+01,5.750000e+01,1.260060e-08
5.750000e+01,5.800000e+01,1.253199e-08
5.800000e+01,5.850000e+01,1.253903e-08
5.850000e+01,5.900000e+01,1.084288e-08
5.900000e+01,5.950000e+01,1.076741e-08
5.950000e+01,6.000000e+01,1.072668e-08
6.000000e+01,6.050000e+01,9.970733e-09
6.050000e+01,6.100000e+01,9.263317e-09
6.100000e+01,6.150000e+01,8.568007e-09
6.150000e+01,6.200000e+01,7.650128e-09
6.200000e+01,6.250000e+01,7.385305e-09
6.250000e+01,6.300000e+01,6.942307e-09
6.300000e+01,6.350000e+01,6.475918e-09
6.350000e+01,6.400000e+01,6.264387e-09
6.400000e+01,6.450000e+01,5.779409e-09
6.450000e+01,6.500000e+01,6.192105e-09
6.500000e+01,6.550000e+01,5.320758e-09
6.550000e+01,6.600000e+01,4.982838e-09
6.600000e+01,6.650000e+01,3.994875e-09
6.650000e+01,6.700000e+01,4.053490e-09
6.700000e+01,6.750000e+01,3.557555e-09
6.750000e+01,6.800000e+01,3.723021e-09
6.800000e+01,6.850000e+01,3.771567e-09
6.850000e+01,6.900000e+01,3.187508e-09
6.900000e+01,6.950000e+01,3.117292e-09
6.950000e+01,7.000000e+01,3.253943e-09
7.000000e+01,7.050000e+01,2.677498e-09
7.050000e+01,7.100000e+01,2.769111e-09
7.100000e+01,7.150000e+01,2.370531e-09
7.150000e+01,7.200000e+01,2.355869e-09
7.200000e+01,7.250000e+01,2.004797e-09
7.250000e+01,7.300000e+01,2.020995e-09
7.300000e+01,7.350000e+01,1.772730e-09
7.350000e+01,7.400000e+01,1.839042e-09
7.400000e+01,7.450000e+01,1.737788e-09
7.450000e+01,7.500000e+01,1.717633e-09
7.500000e+01,7.550000e+01,1.437348e-09
7.550000e+01,7.600000e+01,1.551795e-09
7.600000e+01,7.650000e+01,1.489712e-09
7.650000e+01,7.700000e+01,1.138773e-09
7.700000e+01,7.750000e+01,1.270521e-09
7.750000e+01,7.800000e+01,1.150399e-09
7.800000e+01,7.850000e+01,8.605838e-10
7.850000e+01,7.900000e+01,9.106482e-10
7.900000e+01,7.950000e+01,7.354632e-10
7.950000e+01,8.000000e+01,9.950394e-10
8.000000e+01,8.050000e+01,8.321988e-10
8.050000e+01,8.100000e+01,7.608449e-10
8.100000e+01,8.150000e+01,7.117858e-10
8.150000e+01,8.200000e+01,7.599986e-10
8.200000e+01,8.250000e+01,3.845695e-10
8.250000e+01,8.300000e+01,4.341276e-10
8.300000e+01,8.350000e+01,5.148070e-10
8.350000e+01,8.400000e+01,3.757063e-10
8.400000e+01,8.450000e+01,3.543419e-10
8.450000e+01,8.500000e+01,3.123180e-10
8.500000e+01,8.550000e+01,3.368016e-10
8.550000e+01,8.600000e+01,3.416937e-10
8.600000e+01,8.650000e+01,2.120325e-10
8.650000e+01,8.700000e+01,2.673729e-10
8.700000e+01,8.750000e+01,2.153651e-10
8.750000e+01,8.800000e+01,1.830930e-10
8.800000e+01,8.850000e+01,2.682295e-10
8.850000e+01,8.900000e+01,2.348353e-10
8.900000e+01,8.950000e+01,2.390098e-10
8.950000e+01,9.000000e+01,1.440248e-10
9.000000e+01,9.050000e+01,1.145939e-10
9.050000e+01,9.100000e+01,2.352427e-10
9.100000e+01,9.150000e+01,1.448696e-10
9.150000e+01,9.200000e+01,7.741593e-11
9.200000e+01,9.250000e+01,9.427143e-11
9.250000e+01,9.300000e+01,5.104970e-11
9.300000e+01,9.350000e+01,1.018153e-10
9.350000e+01,9.400000e+01,1.342606e-10
9.400000e+01,9.450000e+01,1.103066e-10
9.450000e+01,9.500000e+01,8.108584e-11
9.500000e+01,9.550000e+01,5.747904e-11
9.550000e+01,9.600000e+01,7.052811e-11
9.600000e+01,9.650000e+01,2.452680e-11
9.650000e+01,9.700000e+01,5.282020e-11
9.700000e+01,9.750000e+01,3.533839e-11
9.750000e+01,9.800000e+01,8.134544e-12
9.800000e+01,9.850000e+01,2.766099e-11
9.850000e+01,9.900000e+01,6.703983e-11
9.900000e+01,9.950000e+01,1.034724e-11
9.950000e+01,1.000000e+02,1.727289e-11
